venue,matches,avg_first_innings_score
"Sawai Mansingh Stadium, Jaipur",1,228.0
"Wankhede Stadium, Mumbai",4,215.5
"New PCA Cricket Stadium, Mullanpur",3,211.7
"MA Chidambaram Stadium, Chennai",3,204.3
"Rajiv Gandhi International Stadium, Hyderabad",4,202.0
"M. Chinnaswamy Stadium, Bangalore",5,195.4
"Eden Gardens, Kolkata",3,187.3
"Narendra Modi Stadium, Ahmedabad",4,186.8
"Arun Jaitley Stadium, Delhi",4,177.8
"Barsapara Stadium, Guwahati",3,159.3
"Ekana Cricket Stadium, Lucknow",4,154.8
